ID,TITULO,autores,pais,evento,ano,universidade,sub_area,tipo_abordagem,disponibilidade,link_acesso,base_dados,link_artigo,questao_001,,,questao_002,,,questao_003,,,questao_004,,,questao_005,,,anotacoes_adicionais
A00114,Does FLOSS in Software Engineering Education Narrow the Theory-Practice Gap? A Study Grounded on Students’ Perception,"Debora Maria Coelho Nascimento, Cristina von Flach Garcia Chavez, Roberto Almeida Bittencourt",Brasil,International Conference on Open Source Systems,2019,"UFSE, UFBA, UEFS",Requisitos,OSS,sim,https://sites.google.com/site/oss2019osp/ e http://www.jabref.org./,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"O estudo realiza projetos de código aberto para realização de atividades, onde utizam duas abordagens. A pprimeira com um curso de testes de software, e a segunda com requisitos.",,,"ABPj, na qual os participantes do estudo realizaram uma prática com projetos reais.",,,"Os benefícios encontrados são a experiência industrial, o reconecimento teórico dos métodos e técnicas de ES e o desenvolvimento de habiliadaes críticas.",,,,,,Análise qualitativa e triangulação de dados.,,,
A00137,Integrating Students as Academic Partners in Software Engineering: A Group Software Development Case Study,"Raj Ramachandran, Helga Gunnarsdottir, Krishan Ranjan, Khoa Phung e Emmanuel Ogunshile",Reino Unido,Communications in Computer and Information Science,2024,"University of the West of England (UWE), Bristol e Cardiff Metropolitan University",Gerência de Projetos,Metodologia Tradicional,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,O estudo utiliza uma abordagem de métodos mistos (mixed-methods) para integrar o modelo SAP em uma perspectiva de desenvolvimento em grupo.,,,"Sim, a categoria entra como SAP (Estudante como Parceiro), os elementos que contribuem para adesão desta abordagem são autonomia dos estudantes e definições de responsabilidades.",,,"Pode promover melhoria de resultados do modelo de aprendizagem, quebrar hierrquias e estímulo do aprendizado mútuo.",,,"O estudo sugere inovações focadas em ambientes, no qual simula situações de trabalho reais, que aborda lacunas de plágio, habilidades em grupo, gestão de tempo e escrita. ",,,Questionário e grupo focal.,,,"Houveram desafios na percepção dos alunos sobre a autoridade do SAP X professor, evidenciando a dificuldade de dissolver completamente as hierarquias de poder na educação superior"
A00142,"CME – A Web Application Framework Learning Technique Based on Concerns, Micro-Learning and Examples","Daniel Correa, Fernando Arango Isaza, Raúl Mazo, Gloria Lucia Giraldo.",Colombia e França,International Conference on Web Engineering,2018,"Universidad Nacional de Colombia, Université Panthéon Sorbonne, Universidad Eafit",Processo de Desenvolvimento,Uso de ferramentas,sim,https://github.com/danielgara/CME,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,As abordagens utilizadas no artigo são ABExemplos e o uso de ferramentas e ambientes colaborativos.,,,"Sim, o estudo propõe a técninca CME que utiliza princípios de  Concerns (Preocupações), Micro-learning (Micro-aprendizagem) e Exemplos.",,,"Traz benefícios na redução da curva de aorendizado, na qual permite que desenvovedores novatos possam desenvolver em um curto período de tempo promovendo operacionalização rápida em iterações durante o desenvolvimento.",,,O estudo sugere inovar utilizando ferramentas de suporte por meio de meios de aprendizado personalizado.,,,Experimento com alunos.,,,O estudo foca especificamente em frameworks web  mas seus princípios de microaprendizagem e separação de interesses podem ser aplicáveis a outras tecnologias complexas de engenharia de software
A00144,Gamification Applied in the Teaching of Agile Scrum Methodology,"Luiz Eduardo Guarino de Vasconcelos, Leonardo B. Oliveira, Gabriel Guimarães e Felipe Ayres",Brasil,Information Technology - New Generations (ITNG) / Advances in Intelligent Systems and Computing,2018,Faculdade de Tecnologia de Guaratinguetá (FATEC) e Centro Universitário Teresa D'Ávila (UNIFATEA),Processo de Desenvolvimento,ABPr,sim,https://www.google.com/search?q=http://www.levellearn.com.br,SPRINGER,https://drive.google.com/drive/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,A condução do estudo ocorre numa combinação entre a metodologia ágil e a aplicação de ABPr apoiada por gamificação. ,,,"Sim, o estudo é combinado entre teoria e prática envolvendo gamificação. ",,,"Pode proporcionar um aumento na motivação e envolvimento com projetos. O estudo apresenta de 89% dos alunos se sentiram motivados a realizar as atividades, 67& influenciou positivamente a assiduidade e 84% pontualidade nas aulas.",,,"Pode inovar simulando ambientes industriais (Uso de Scrum), mas adcionando camadas de gamificação para aumentar engajamento dos alunos.",,,Questionário.,,,"O estudo destacou que o uso da ferramenta própria LevelLearn gerou uma pressão considerada positiva pela maioria dos alunos, cuja adesão foi facilitada pelo perfil gamer predominante na turma."
A00148,Using Pull-Based Collaborative Development Model in Software Engineering Courses: A Case Study,"Yao Lu, Xinjun Mao, Gang Yin, Tao Wang, e Yu Bai",China,Conference Paper in Lecture Notes in Computer Science,2017,National University of Defense Technology,Gerência de Configuração,Uso de ferramentas,-,-,SPRINGER,https://drive.google.com/drive/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"No estudo, foi utilizada uma abordagem baseada no modelo de desenvolvimento, comum em comunidades de Software de Código Aberto (OSS) e plataformas como GitHub. Os alunos utilizaram um fluxo de trabalho com repositórios Git, criando ramificações (branches) e submetendo ""Pull Requests"" (PRs) para revisão e fusão de código.",,,"Aprendizado colaborativo, que oferece um modelo mais transparente entre os devs.",,,"Para os alunos, a abordagem demonstrou uma melhora na eficiencia do desenvolvimento, para os professores, demonstrou uma melhora no monitoramento do desenvolvimento e avaliações individuais.",,,O uso de ferramentas que simulam ambientes industriais que auxilia nas competências essenciais de controle de versão e colaboração exigidas pela indústria,,,Estudo de caso.,,,"O estudo notou diferenças no comportamento dos alunos em comparação com desenvolvedores de OSS: em sala de aula, os alunos preferem comunicação face a face ou por ferramentas de mensagem instantânea (IM) em vez de usar apenas os comentários nos PRs, e os líderes tendem a aceitar PRs rapidamente com poucas revisões de código. "
A00156,Peel the Onion: Use of Collaborative and Gamified Tools to Enhance Software Engineering Education,Naomi Unkelos-Shpigel,Israel,Conference on Advanced Information Systems Engineering,2016,University of Haifa,Processo de Desenvolvimento,Uso de ferramentas,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,"É utilizada a abordagem Peel the Onion, na qual modelada para sistemas OSS em 3 etapas: Nível do Estudante: Utilizando o kahoot para revisão da aulta anterior, Nível equipe: Com o google docs sã realizadas atividades colaborativas durante a aula e Nível de Curso: onde é aplicado um forms para relização de revisão em pares para avaliação de projetos em quipe.",,,Uso de ferramentas. Os elemtos que contribuem apra adoção dessa abordagem são o fluxo continuo de aprendizado e o poder crítico pela revisão em pares dos projetos.,,,"A abordagem traz ferramentas que auxiliam na participação de todos os alunos de forma se pode observar duas versões de vivencia, a de criação e avaliação. ",,,Aplicando cultura de revisão de projeto.,,,Estudo de caso e questionário.,,,
A00172,Security in Agile Development: Pedagogic Lessons from an Undergraduate Software Engineering Case Study,"J. Todd McDonald, Tyler H. Trigg, Clifton E. Roberts, Blake J. Darden.",EUA,Second International Symposium on Cyber Security,2016,University of South Alabama,Processo de Desenvolvimento,Metodologis híbrida,sim,https://github.com/Jenuma/Abject,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,Abordagem prática em laboratório e utilização do app Abject para gerenciamento de sprints.,,,"ABPr, podendo ser combinada por meio da motivação para segurança de software e ciclo de vida ágil. ",,,"Traz a experiência próxima da experiência real ao lidar com comunicação em equipe, fluxo de trabalho, resolução de problemas em cenário real.",,,"Exigindo pré-requisitos curriculares, que ao invés de focar no produto final, focam na contrução do projeto ao todo simulando times da indústria.",,,Estudo qualitativo.,,,"Os autores recomendam que cursos focados em metodologia Ágil exijam um curso de desenvolvimento de software seguro como pré-requisito, e não como conteúdo concomitante."
A00190,Grit and Growth Mindset Among High School Students in a Computer Programming Project: A Mixed Methods Study,"Delia Kench, Scott Hazelhurst e Femi Otulaja",África do Sul,Annual Conference of the Southern African Computer Lecturers’ Association,2016,University of the Witwatersrand,Processo de Desenvolvimento,Metodologia Tradicional,-,-,SPRINGER,https://drive.google.com/drive/u/1/folders/1EYLwm6rTdQupa8uJvqyuRS82IpjedCs6,O estudo conduzido elabora o conceito de suporte em que o professor guia os alunos nos estágios de esenvolvimento.,,,"Metodologia de ensino, em que os elementos que contibuem para o desenvolvimento são promoção de prazos de entrega e a utilização de feedback construtivo e formativo.",,,"Pode auxiliar os alunos as técnicas de partição de problemas, para auxiliar na resolução de problemas muito complexos de desenvolvimento.",,,"A prática de múltiplas submissões de código pode influenciar na rotina semelhante ao mercado, assim como a construção de estratégias pessoais de solução de problemas",,,Questionário e entrevista.,,,Os autores sugerem trabalhos futuros em escolas governamentais e com maior diversidade de gênero e raça para validar as descobertas.
A00210,Delivering computing module for the large part-time software development class from pre- to post-pandemic: An online learning experience,"Olga Pishchukhina, Daria Gordieieva, Austen Rainer",Reino Unido e Ucrânia,The Journal os System and Software,2024,Queen's University Belfast (Reino Unido) e Lutsk National Technical University (Ucrânia),Análise / Projeto / Modelagem,Metodologia Tradicional,sim,doi:10.1016/j.jss.2024.111959.,SCIENCE_DIRECT,https://drive.google.com/drive/u/1/folders/1XjNmFFKkADLJaTJtFaBY-DIOrI0pQR3Z,A abordagem do estudo foi utilização de ambientes virtuais para aprimorar o ensino.,,,Metodologia híbrida e online. Os elementos que contribuem para isso são a virtualização de ambientes com aplicação de quizzes e exames simulados.,,,"Ensino híbrido que motiva a felixibilidade, reduz custos, e promove a acessibilidade de materiais também.",,,"A integração de desenvolvimento de softskills, feedback contínuo, e manutenção do desempenho influenciam na adesão dessa abordagem. Além de trazer inovação por trazer cursos flexíveis e a adptação de métodos.",,,Questionário.,,,"O estudo foca especificamente em uma classe grande de estudantes ""part-time"" (tempo parcial) em um curso de conversão para Engenharia de Software, sugerindo que este público maduro se adapta melhor ao ensino online do que estudantes de graduação tradicionais."
A00219,Towards better Scrum learning using learning styles,"Ezequiel Scott, Guillermo Rodríguez, Álvaro Soria, Marcelo Campo",Argentina,The Journal os System and Software,2016,"Instituto de Pesquisa ISISTAN (CONICET-UNICEN), Universidade Nacional do Centro da Província de Buenos Aires (UNCPBA).",Análise / Projeto / Modelagem,Metodologia prática,sim,http://www.ua.es/dpto/dqino/RTM/Invest_docente/ilsweb.es.html,SCIENCE_DIRECT,https://drive.google.com/drive/u/1/folders/1XjNmFFKkADLJaTJtFaBY-DIOrI0pQR3Z,A abordagem utilizada combina o ensino de conceitos básicos do Scrum com a personalização baseada em Estilos de Aprendizagem incluindo aulas teóricas e a reliazção de um projeto.,,,"Metodologia baseada em ensino personalizado. Sim, pode ser combinado. levando em consideração o estilo quie está sendo adotado.",,,"O ensino de Scrum em contextos práticos ajuda os alunos a adquirirem habilidades além das técnicas, como trabalho em equipe, lidando com problemas reais de projetos de software.",,,"A inovação proposta é na personalização do processo de ensino, afastando-se de modelos únicos para todos e atendendo às características individuais dos alunos. Pode reforçar esse fortalecimento para identificar padrões de alunos, e validar estratégias que aumentam o desempenho dos alunos.",,,Experimento controlado.,,,"O estudo foca especificamente na dimensão ""Processamento"" (Ativo/Reflexivo) do modelo de Felder-Silverman, pois pesquisas anteriores dos autores indicaram que esta dimensão tinha a relação mais significativa com as práticas de Scrum."
A00222,Exploring the gap between the student expectations and the reality of teamwork in undergraduate software engineering group projects,"Claudia Iacob, Shamal Faily",Reino Unido,The Journal of Systems and Softwar,2019,"University of Portsmouth, Bournemouth University",Gerência de Projetos,Metodologia colaborativa,sim,https://doi.org/10.1016/j.jss.2019.110393,SCIENCE_DIRECT,https://drive.google.com/drive/u/1/folders/1XjNmFFKkADLJaTJtFaBY-DIOrI0pQR3Z,"A abordagem é feita através de um curso anual de graduação (segundo ano) focado em projetos em grupo. As equipes trabalham por 27 semanas (de setembro a março) para desenvolver um sistema que inclua armazenamento, lógica de aplicação e interface gráfica. No estudo é exigido que há entregas parciais: plano de projeto, especificação de requisitos, documentação de design, protótipo (código e testes) e um relato retrospectivo final",,,"Aprendizagem Baseada em Cenários, e metodologia de ensino em grupo. Em que o estudo sugere que a falta de foco nesses aspectos ""soft"" no início do projeto (focando apenas no agendamento de tarefas) leva a problemas de adesão e execução. ",,,"A academia proporciona, através destes projetos em grupo, uma exposição aos desafios de trabalho em equipe e gerenciamento de projetos que os alunos enfrentarão como profissionais. Os benefícios incluem o aprendizado mútuo entre os membros da equipe e a motivação gerada pelo trabalho conjunto.",,,"O estudo sugere que a academia deve orientar os alunos a focar, desde o início do projeto, em aspectos além do agendamento técnico, como a logística da equipe, o conhecimento da expertise colaborativa dos membros e a criação de um ambiente de equipe",,,Estudo empírico e questionário.,,,"O estudo identificou que muitos alunos subestimam a complexidade do trabalho em grupo e focam excessivamente na divisão técnica de tarefas, negligenciando a gestão humana."
A00223,Application of Project-Based Learning to a Software Engineering course in a hybrid class environment,"Edgar Ceh-Varela, Carlos Canto-Bonilla, Dhimitraq Duni.",Estados Unidos (USA) e México,Information and Software Technology,2023,Eastern New Mexico University (EUA) e Universidad Tecnologica Metropolitana (México),Processo de Desenvolvimento,ABPj,sim,https://doi.org/10.1016/j.infsof.2023.107189,SCIENCE_DIRECT,https://drive.google.com/drive/u/1/folders/1XjNmFFKkADLJaTJtFaBY-DIOrI0pQR3Z,"O estudo utiliza uma abordagem ABPj em um ambiente híbrido, misturando alunos presenciais e online. Nos quais combina modelos tradicionais da engenharia de software (Cascata, Espiral e Prototipagem)",,,"ABPj, com utilização de meotodologias ágeis. Os principais elementos que contribuem para a adesão, são um escopo amplo de aplicação, colaboração e praticidade do produto final de ser utilizado no mundo real.",,,"A academia ao utilizar ABPj, proporciona o desenvolvimento de hard skills e soft skills",,,"A inovação apresentada é a condução de projetos em turmas híbridas (presencial + online), refletindo a realidade pós-pandemia e o trabalho remoto/híbrido da indústria de software.",,,Questionário.,,,"O estudo destaca desafios específicos do modelo híbrido, como barreiras de comunicação e diferenças nos níveis de engajamento entre alunos presenciais e online"
A00224,The impact of unequal contributions in student software engineering team projects,"Kamilla Kopec-Harding, Sukru Eraslan, Bowen Cai, Suzanne M. Embury, Caroline Jay.",Reino Unido,The Journal of Systems & Software,2023,University of Manchester,Processo de Desenvolvimento,ABPj,sim,https://doi.org/10.1016/j.jss.2023.111839,SCIENCE_DIRECT,https://drive.google.com/drive/u/1/folders/1XjNmFFKkADLJaTJtFaBY-DIOrI0pQR3Z,,,,"ABPj e Aprendizagem colaborativa, e uso de ferramentas. O uso de ferramentas padrão da indústria facilita a aquisição de dados de atividade da equipe em tempo real, o que é um elemento chave para permitir intervenções e monitoramento ",,,"Experiência industrial, colaborativa e não-técnicas.",,,"Apoiar os alunos com estratégias interpessoais para lidar com comportamentos, além de incentivar mudanças e interaçõe spor meio dos dados obetidos pelas ferramentas utlizadas.",,,Experimento controlado.,,,"O estudo desafia a suposição comum de que a distribuição desigual de trabalho sempre prejudica o desempenho da equipe, sugerindo que as equipes estudantis são resilientes a altos níveis de desigualdade"
